Sector,Definición,,,
Conservación,,,,
,,,,
Meta,Definición,,,
,"Promover la conservación, la protección y el aprovechamiento sustentable de los elementos biofísicos y bioculturales; la preservación de sitios prioritarios y la restauración de sitios degradados; para garantizar la funcionalidad y conectividad de los ecosistemas y la provisión de servicios ambientales, respetando los usos y costumbres de las comunidades indígenas mediante el fomento de mejores prácticas y la participación de comunidades locales.",,,
,,,,
Criterios,,,,
Atributos,Definición,Peso,,
Servicios ambientales,"Beneficios que la gente recibe de los diferentes ecosistemas, ya sea de manera natural o por medio de su manejo sustentable, ya sea en el ámbito local, regional o global. Los servicios ambientales influyen directamente en el mantenimiento de la vida, generando beneficios y bienestar para las personas y las comunidades.",0.500,,
Funcionalidad,"Procesos biológicos, geoquímicos y físicos que tienen lugar en un ecosistema y producen un servicio.",0.500,,
,,,,
,,,,
,,,,
Servicios ambientales,,,,
Atributos,Definición,Peso,,
Soporte,"Procesos ecológicos como formación de suelo, fotosíntesis, producción primaria, ciclo de nutrientes y ciclo del agua, necesarios para los otros tres tipos de servicios ambientales. ",0.395,,
Regulación,"Procesos ecológicos que mejoran o  hacen posible nuestra vida, tales como: mejoras en la calidad del aire, regulación del clima, del ciclo del agua, control de la erosión, mantenimiento de la fertilidad del suelo, reciclado de desechos y purificación de aguas residuales, control de enfermedades y plagas, polinización y reducción de daños ante catástrofes naturales.",0.356,,
Provisión,"Productos obtenidos de la naturaleza para su consumo o utilización, ya sea de manera directa o previo procesamiento, tales como: comida, agua dulce de consumo y uso agrícola; materias primas bióticas para tejidos, materiales de construcción, resinas; materiales geóticos (sal); combustibles renovables; recursos genéticos para agricultura, ganadería y biotecnología; recursos ornamentales, decoración, jardinería, etc; compuestos bioquímicos de distintos usos, recursos farmacológicos y medicinales, etc.",0.185,,
Culturales,"Valores o beneficios no materiales que se obtienen de la naturaleza a través del enriquecimiento personal o espiritual, el desarrollo cognitivo, la reflexión, el disfrute de la naturaleza, los placeres estéticos que ofrecen los propios ecosistemas. La diversidad de los ecosistemas es uno de los factores determinantes en la diversidad cultural de un territorio. Muchos ecosistemas son una fuente de inspiración para el arte, el folklore, los símbolos nacionales y regionales, la arquitectura y la publicidad.",0.064,,
,,,,
,,,,
Funcionalidad,,,,
Atributos,Definición,Peso,,
