Sector,Definición
Forestal,
,
Meta,Definición
,"Incorporar nuevas superficies y productores a la producción forestal maderable y no maderable, de tal manera que se represente una alternativa productiva y mejorar las capacidades técnicas y financieras de aprovechamiento de las áreas ya destinadas a la producción forestal maderable y no maderable."
,"Orientar la producción al aprovechamiento sostenible, que garantice que los ecosistemas se mantengan."
, Minimizar los riesgos del sector forestal y fomentar las plantaciones forestales en superficies preferentemente forestales.
,
Tipo,Definición
Aprovechamiento forestal no maderable,"Aprovechamiento de los recursos constituidos por la parte no leñosa de la vegetación de un ecosistema forestal, y susceptibles de aprovechamiento o uso, incluyendo líquenes, musgos, hongos y resinas, así como los suelos de terrenos forestales y preferentemente forestales."
,
Biofísicos,
Criterio,Definición
Tipo de vegetación,Tipos de vegetación y usos de suelo.
Edafología,Tipo de suelo.
Clima,Tipo de clima.
Factores de riesgo,Elementos del ambiente biofísico que ponen en riesgo las actividades de aprovechamiento forestal maderable (zonas con plagas y zonas con incidencia de incendios).
,
Socioeconómicos,
Criterio,Definición
Aprovechamiento,Autorizaciones de aprovechamiento forestal vigentes.
Tenencia,Tenencia de la tierra.
Mercados,Cercanía a las principales localidades en las que se venden los recursos maderables.
,
Infraestructura,
Criterio,Definición
Comunicación,"Distancia a carreteras, caminos rurales y veredas (red de caminos primarios y secundarios)."
Abastecimiento,Cercanía a localidades como centro de acceso a insumos para la actividad forestal.
Centros de almacenamiento,Distancia a centros de almacenamiento y transformación.
