ID,Categoría,Importancia,FV
4,Asentamiento humano,Máxima ,1.0
11,Sin vegetación,Máxima ,1.0
1,Acuícola,Alta,0.8
2,Agricultura de riego,Alta,0.8
5,Bosque cultivado/Palmar inducido,Alta,0.8
3,Agricultura de temporal,Moderada,0.7
8,Pastizal,Moderada,0.7
9,Selva baja,Moderada,0.7
10,Selva mediana,Moderada,0.7
12,Sábana,Moderada,0.7
6,Cuerpo de agua,Nula,0.0
7,Manglar,Nula,0.0
13,Tular,Nula,0.0
14,Vegetación de duna costera,Nula,0.0
15,Vegetación de petén,Nula,0.0
16,Vegetación halófila hidrófila,Nula,0.0
17,ND,Nula,0.0
,,,
