Meta,Definición
,"Incrementar la productividad y diversificar las actividades en sector industrial, considerando las actividades e infraestructura de: (1) producción, (2) almacenamiento y centros de distribución y de logí­stica, y (3) comercialización de insumos y productos terminados"
,"Disminuir el impacto ambiental, en cuanto al consumo de recursos y suelo y generación de residuos"
,Promover la producción en el sector industrial mediante el favorecimiento de economía circular
,Promover la descentralización de la actividad industrial hacia la zona sur y oriente
,
Tipo de industria,
Ligera,"La industria ligera incluye desarrollo de tecnología,  actividades de apoyo a la industria mediana y pesada, y almacenamiento."
,
Infraestructura,
Criterio,Definición
Comunicación,Distancia a localidades con cobertura de internet.
Conectividad,Distancia a vías de comunicación que permiten el movimiento de trabajadores y la distribución de insumos y productos.
Energía,Distancia a líneas de transmisión eléctrica.
Acceso a agua,Distancia a localidades con cobertura de red de agua potable.
Manejo de residuos,Distancia a sitios de disposición final de residuos sólidos y agua residual. 
,
Conectividad,
Subcriterio,Definición
Carreteras,Distancia a carreteras.
Aeropuertos,Distancia a aeropuertos.
Puertos,Distancia a puertos.
Red ferroviaria,Distancia a red ferroviaria.
,
Carreteras,
Subcriterio,Definición
Un carril,Carreteras de un solo carril.
Varios carriles,Carreteras de dos o más carriles.
,
Manejo residuos,
Subcriterio,Definición
Plantas de aguas residuales,Distancia a plantas de tratamiento de aguas residuales.
Rellenos sanitarios,Distancia a infraestructura que involucra métodos y obras de ingeniería para la disposición final de los residuos sólidos urbanos y de manejo especial.
Basureros,"Distancia a  bancos de basura, basureros, centros de acopio de residuos, chascaderas, tiraderos."
,
Socioeconómicos,
Criterio,Definición
Industria instalada,"Localidades con unidades económicas registradas en el Directorio Estadístico Nacional de Unidades Económicas del INEGI en las categorías (334) Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos y (493) Servicios de almacenamiento, así como el Parque Científico Tecnológico de Yucatán."
Localidades,"Distancia a localidades donde se tiene acceso a capital social, servicios y mercado."
Tenencia,Tenencia de la tierra.
,
Biofísicos,
Criterio,Definición
Cobertura  ,Uso de suelo y vegetación
