Tipo,Definición,
Milpa maya y apicultura,"Sistema alimentario agroforestal dinámico, integrado por diversas actividades productivas a pequeña escala (solar, apicultura, otras actividades en el monte), asociadas a la seguridad alimentaria por ser principalmente para autoconsumo. Sus principales componentes son: semillas nativas, agro diversidad, cultivo de temporal, vegetación más o menos conservada, extensión menor a 1-3 ha.",
,,
Meta,Definición,
,"Promover el fortalecimiento del sistema milpa maya tradicional y de la apicultura del Estado de Yucatán, para que la producción se realice de manera sustentable, promueva la conservación de la biodiversidad y del patrimonio biocultural y permita la innovación en la milpa maya, sin perder la esencia tradicional.",
,,
Atributos,Definición,
Biofísicos,"Atributos asociados a las propiedades biológicas, físicas del suelo y del ambiente.",0.635
Sociales,Atributos que describen las características sociales del territorio.,0.259
Infraestructura,Atributos asociados a la distribución de productos y centros de acopio y accesibilidad.,0.106
,,
Biofísicos,,
Atributo,Definición,
Cobertura,Vegetación o uso de suelo actual,
Disponibilidad de agua,Fuentes de acceso al agua,
Tipo de suelo,Tipo de suelo (Edafología),
,,
Infraestructura,,
Atributo,Definición,
Distancia a caminos,"Distancia a caminos principales, brechas, terracerías",
Distancia a centros de acopio,Distancia a poblaciones principales. Existencia de grupos organizados de mercado.,
,,
Sociales,,
Atributo,Definición,
Población milpera y apícola,Porcentaje de la población municipal dedicada a la actividad milpera y apícola.,
Población indígena,Porcentaje de la población que habla una lengua indígena en el municipio.,
Tenencia de la tierra,"Zonas de área común, parcelas y áreas no ejidales.",
,,
Disponibilidad agua,,
Atributo,Definición,
Cenotes y aguadas,Distancia a cenotes y aguadas,
Precipitación,Precipitación promedio anual.,
Profundidad del acuífero,Distancia al acuifero o nivel piezométrico.,
,,
,,
,,
