Tipo,Definición,
Porcícola y avícola,,
,,
Meta,Definición,
,"Fomentar el desarrollo, el crecimiento y la descentralización de empresas porcícolas y avícolas para que su operación se realice de manera ordenada y sustentable, promueva modelos de producción no convencionales a partir de porcinos y aves seleccionados, especializados o localmente adaptados e incorpore esquemas tecnológicos para reducir y mitigar impactos socioambientales, de manera que se incremente la sostenibilidad ambiental y contribuya a mejorar la salud pública.",
,,
Atributos,Definición,Peso
Infraestructura,Atributos asociados a la distribución de productos y centros de acopio y accesibilidad.,0.627
Biofísicos,"Atributos asociados a las propiedades biológicas, físicas del suelo y del ambiente.",0.278
Mano de obra,Disponibilidad de mano de obra en los diferentes tipos de asentamientos humanos.,0.095
,,
Biofísicos,,
Atributo,Definición,Peso
Profundidad del acuífero,Distancia al acuífero o nivel piezométrico. Costo de extracción de agua del acuifero,0.833
Cobertura,Vegetación o uso de suelo actual,0.167
,,
,,
Infraestructura,,
Atributo,Definición,Peso
Caminos,Distancia a carreteras pavimentadas de 2 carriles y secundarias,0.529
Distancia a redes eléctricas: ,Distancia a redes eléctricas CFE.,0.257
Distancia a rastro y empacadora ,"Infraestructura industrial complementaria (incluye establecimientos de inspección federal, plantas transformadoras de productos y empacadoras). Distancia a rastros y empacadoras porcinos y avícolas.",0.139
Puerto Progreso ,Distancia a Puerto Progreso para recepción de insumos.,0.075
,,
,,
Caminos,,
Atributo,Definición,Peso
Distancia a carreteras,Distancia a carreteras y prolongación, 0.800 
Distancia a caminos y veredas,Distancia a caminos y veredas., 0.200 
,,
Mano de obra,,
Atributo,Definición,Peso
Rural-Urbano,"Distancia a localidades rurales-urbanas => 2500 y <15,000 habitantes.",0.559
Rurales,"Distancia localidades rurales < 2,500 habitantes.",0.319
Urbanos,"Distancia a localidades urbanas >= 15,000 habitantes.",0.122
